kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
2221,POLITEKNIK NEGERI LHOKSEUMAWE,Kota Lhokseumawe,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=221
2222,POLITEKNIK NEGERI MEDAN,Kota Medan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=222
2231,POLITEKNIK NEGERI BATAM,Kota Batam,Kepulauan Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=231
2232,POLITEKNIK NEGERI BENGKALIS,Kabupaten Bengkalis,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=232
2241,POLITEKNIK NEGERI PADANG,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=241
2242,POLITEKNIK PERTANIAN NEGERI PAYAKUMBUH,Kabupaten Lima Puluh Koto,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=242
2271,POLITEKNIK NEGERI SRIWIJAYA,Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=271
2281,POLITEKNIK MANUFAKTUR NEGERI BANGKA BELITUNG,Kabupaten Bangka,Kepulauan Bangka Belitung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=281
2291,POLITEKNIK NEGERI LAMPUNG,Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=291
2421,POLITEKNIK NEGERI JAKARTA,Kota Depok,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=421
2422,POLITEKNIK NEGERI MEDIA KREATIF,Kota Jakarta Selatan,Jakarta Raya,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=422
2431,POLITEKNIK NEGERI BANDUNG,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=431
