kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
1116,UIN AR-RANIRY,Kota Banda Aceh,Aceh,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=116
1123,UIN SUMATERA UTARA,Kabupaten Deli Serdang,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=123
1124,UIN SYEKH ALI HASAN AHMAD ADDARY PADANGSIDIMPUAN,Kota Padangsidimpuan,Sumatera Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=124
1132,UIN SULTAN SYARIF KASIM,Kota Pekanbaru,Riau,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=132
1144,UIN IMAM BONJOL PADANG,Kota Padang,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=144
1152,UIN SULTAN THAHA SAIFUDDIN JAMBI,Kota Jambi,Jambi,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=152
1172,UIN RADEN FATAH,Kota Palembang,Sumatera Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=172
1193,UIN RADEN INTAN LAMPUNG,Kota Bandar Lampung,Lampung,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=193
1194,UIN MAHMUD YUNUS BATUSANGKAR,Kabupaten Tanah Datar,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=194
1195,UIN SJECH M. DJAMIL DJAMBEK BUKITTINGGI,Kota Bukittinggi,Sumatera Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=195
1312,UIN SULTAN MAULANA HASANUDDIN BANTEN,Kota Serang,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=312
1322,UIN JAKARTA,Kota Tangerang Selatan,Banten,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=322
1336,UIN SUNAN GUNUNG DJATI,Kota Bandung,Jawa Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=336
1357,UIN WALISONGO,Kota Semarang,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=357
1358,UIN RADEN MAS SAID SURAKARTA,Kabupate Sukoharjo,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=358
1365,UIN SUNAN KALIJAGA,Kabupaten Sleman,Yogyakarta,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=365
1366,UIN PROFESOR KIAI HAJI SAIFUDDIN ZUHRI PURWOKERTO,Kabupaten Banyumas,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=366
1367,UIN SALATIGA,Kota Salatiga,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=367
1368,UIN K.H. ABDURRAHMAN WAHID PEKALONGAN,Kota Pekalongan,Jawa Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=368
1374,UIN MALANG,Kota Malang,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=374
1386,UIN SUNAN AMPEL SURABAYA,Kota Surabaya,Jawa Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=386
1532,UIN ANTASARI BANJARMASIN,Kota Banjarmasin,Kalimantan Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=532
1571,UIN SULTAN AJI MUHAMMAD IDRIS SAMARINDA,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=571
1622,UIN MATARAM,Kota Mataram,Nusa Tenggara Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=622
1713,UIN ALAUDDIN,Kabupaten Gowa,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=713
1732,UIN DATOKARAMA PALU,Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=732
