kode,nama,kab_kota,provinsi_1,provinsi_2,link_profil
1541,UNIVERSITAS MULAWARMAN,Kota Samarinda,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=541
1542,INSTITUT TEKNOLOGI KALIMANTAN,Kota Balikpapan,Kalimantan Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=542
1551,UNIVERSITAS BORNEO TARAKAN,Kota Tarakan,Kalimantan Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=551
1611,UNIVERSITAS UDAYANA,Kabupaten Badung,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=611
1612,UNIVERSITAS PENDIDIKAN GANESHA,Kabupaten Buleleng,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=612
1613,ISI DENPASAR,Kota Denpasar,Bali,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=613
1621,UNIVERSITAS MATARAM,Kota Mataram,Nusa Tenggara Barat,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=621
1631,UNIVERSITAS NUSA CENDANA,Kota Kupang,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=631
1632,UNIVERSITAS TIMOR,Kabupaten Timor Tengah Utara,Nusa Tenggara Timur,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=632
1711,UNIVERSITAS HASANUDDIN,Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=711
1712,UNIVERSITAS NEGERI MAKASSAR,Kota Makassar,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=712
1718,INSTITUT TEKNOLOGI BJ. HABIBIE SULAWESI SELATAN,Kota Parepare,Sulawesi Selatan,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=718
1721,UNIVERSITAS SAM RATULANGI,Kota Manado,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=721
1722,UNIVERSITAS NEGERI MANADO,Kabupaten Minahasa,Sulawesi Utara,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=722
1731,UNIVERSITAS TADULAKO,Kota Palu,Sulawesi Tengah,,https://sidatagrun-public-1076756628210.asia-southeast2.run.app/ptn_sb.php?ptn=731
